image,description,display name,category,image_path,img_ok
15377.jpg,"A perfect blend of fashion and comfort, the fila Lobato makes for a great casual shoe. Upper Leather upper with stitch detailing Lacing system for a snug, customised Fit Textile inner lining for the collar and tongue to offer optimum fit and comfort Padded footbed for all-day comfort and impact protection Midsole EVA midsole for impact protection Outsole Durable rubber outsole with brand logo styled lugs and ergonomic grooves for absolute grip and traction Pivot point at the big toe mound with brand logo for easy 180 degree movement of the foot Shoe care Wipe surface with a dry, clean cloth to remove dust Do not store in direct sunlight",Fila Men Lobato Navy Blue Casual Shoes,Casual Shoes,15377.jpg,True
5901.jpg," Classic footwear from puma gets a fresh twist with Corsica Tribal shoes. Aesthetically designed upper with a technologically advanced structure, the shoes are all set to invade into your style zone. Upper Leather upper with bright stitch detailing for style Central lacing system for customised Fit Lightly padded tongue and collar for snug fit Fabric formstripe for maximum style Midsole Light, foamy footbed Phylon midsole for maximum lightweight comfort Outsole Durable rubber outsole with brand name all over crating small traction grooves for great hold ",Puma Women's Corsica Tribal Black Shoe,Casual Shoes,5901.jpg,True
49485.jpg,"Grey, round toed shoes with central lace fastening with metal eyelets and rounded lace Canvas upper, brown patch at the heel collar, reinforced overlay at the heel collar Soft inner and tongue, padded at the mouth and footbed EVA midsole with foxing aroun",Vans Men Grey Casual Shoes,Casual Shoes,49485.jpg,True
22197.jpg,"Slip into laidback comfort with these timberland shoes. Coming from Timeberland, these shoes feature upper crafted from leather with stitch detailing for extra style. Upper Two tone leather upper with mesh inserts on the side for added strength, durability and breathability Padded tongue and collar to protect from excessive rubbing and prevent blistering Elasticated inserts on the sides of the tongue for easy insertion and removal of the feet Midsole Rubber midsole for cushioned comfort Outsole TPU outsole with a stacked heel Multi-directional lugs on the forefoot and grooves on the heel shoe care Use a leather brush to dust off the dirt Use a leather shoe polish to make the shoes shine Do not store in direct sunlight",Timberland Men Brown Casual Shoes,Casual Shoes,22197.jpg,True
30259.jpg,"For the man who is smart enough to prefer quality along with a sporty feel, this pair from red tape is the right choice. Wear this with washed jeans and your favourite T-shirt, a perfect off-duty ensemble to wear for a coffee date in the evening.  Upper High quality genuine leather upper for protection, comfort and durability Central lacing system Padded tongue for comfort Branding appliqued on the midfoot and tongue Stitched detailing on the midfoot and the heel for style Padded sockliner  Midsole Rubber midsole for comfort  Outsole Textured TPR outsole with a raised heel  shoe care Use a branded shoe polish to keep your footwear clean Do not store under sunlight",Red Tape Men Navy Blue Shoes,Casual Shoes,30259.jpg,True
40788.jpg,"Style Note We're tired of all the colour pop denims around town. That's why quiksilver comes up with this bright pair of sneakers with a high  fashion sartorial attitude. Inspired from it's sporty counterparts this pair adds a definite down-town cool with an upscale look. Style this with minimalist ensembles for maximum effect. Product Details Black round toed shoes with central lace-ups, perforations and plaid overlays at the midfoot Has a padded tongue and inner with a fabric footbed PU midsole with foxing Patterned TPU outsole Material and Care Nubuck leather Use a leather brush to remove dust",Quiksilver Men Black Shoes,Casual Shoes,40788.jpg,True
44752.jpg,"Style Note  It's not only women who like to experiment with the shape, styles and colours of their footwear as men are not far behind. Check out shoes for men from globalite. Globalite offers casual shoes in different styles which can go well with any outfit. Team these shoes with denims and a stylish tee and up your style quotient.   Product Details  White shoe with central lace-ups, overlays and perforations  Padded and meshed tongue and inner  Foamy rubber midsole  TPU outsole with herringbone grooves, pivot point on the forefoot, scooped heel and hexagonal nubs on the heel   Material and Care  Synthetic  Wipe surface with soft, clean, damp cloth  Do not machine wash",Globalite Men White Court Shoes,Casual Shoes,44752.jpg,True
57496.jpg,"Semi-formal black shoe with perforations at the toe box Central three hole lace-ups, padded inner and soft footbed Upper adhered to the tough rubber sole; textured sole upraised at the footbed",Lee Cooper Men Black Shoes,Casual Shoes,57496.jpg,True
17483.jpg,"Crafted with high quality leather by European designers, these shoes from enroute are passionately created to help you stay ahead of the trend. Team this with casual denims and a comfortable t-shirts.  This pair comes with a shoe bag and plastic tongue.   Upper  Leather and overlays with a red and white tape across the midfoot for absolute durability and style Padded tongue and collar for enhanced comfort Lace-up system for a snug and customised Fit   Midsole  Soft, cushioned footbed for step-in comfort Removable footbed to accomodate an orthotic   Outsole  TPR outsole with lugs in the form of the letters SHOES for  maximum grip and traction   Shoe care  Wipe surface with a clean and dry cloth to remove dust Use a branded leather conditioner Do not store in direct sunlight",Enroute Men Casual Navy Blue Casual Shoe,Casual Shoes,17483.jpg,True
5919.jpg,-,ADIDAS Women's Daily White Shoe,Casual Shoes,5919.jpg,True
7717.jpg,"Brighten up your wardrobe with this feminine pair of Soleil shoes from puma. Sleek, comfortable and strong, with metal stud detailing in a delicate looking design, these shoes look great when teamed with shorts , mini skirts or denims and tees for a cool casual look.  Upper   Synthetic leather upper for lightweight durability  Stitch detailing and contrast piping for feminine styling  Textile lining for superior comfort  Formstripes with metal suds on the sides  Embroidered logo on toe box and tongue  Lace-ups for snug Fit   Midsole   EcoOrthoLite midsole for maximum comfort, protection from impact and support   Outsole   Textured rubber outsole for traction and grip  Embedded pivot point for 180 degree movement of the foot  ",Puma Women Soleil Stud White Shadow Purple Shoe,Casual Shoes,7717.jpg,True
22818.jpg,"woodland - the giant in the outdoor shoe industry, has come up with this rugged shoe with a refined stance. A cheeky take on the classic penny loafer, this two-hole lace up leather shoe also references the conservative derby in its styling. Wear this with chinos or denims and a checked casual shirt or a tee. Style this with a rugged belt. Upper Leather upper with aggressive stitch detailing and embossed branding on the lateral side of the heel Stitches on the seams of the toe box Two-hole lace ups Padded tongue Padded insole for in-step comfort Removable sockliner to accommodate an orthotic Outsole reinforced onto the upper at the heel Midsole Rubber midsole Outsole Dual density TPU outsole with geometric lugs for grip and traction Upraised heel and curved midfoot Shoe care Wipe surface with soft, clean, damp cloth to remove dust Use a suede brush to remove dust from suede parts Do not machine wash",Woodland Men Black Casual Shoes,Casual Shoes,22818.jpg,True
4455.jpg,"These lifestyle canvas shoes from adidas are great for casual wear. They give superior traction and protection to the feet while remaining comfortable and stylish. Team these with jeans and tees for a great casual look. Upper Heavy cotton uppers for snug Fit and protection Coloured cotton lace-ups for snug fit Metallic lace eyelets for durability Breathable canvas for strength and longevity EVA rubber toe box for enhanced protection to the forefoot and longer shoe life Midsole Shock-absorbing midsole for added comfort Outsole Durable gum rubber outsole with circular lugs for superior grip Abrasion resistant foxing and toe-guard for additional protection and durability Wash care Wipe surface with soft, clean, damp cloth Do not machine wash",ADIDAS Khaki Color Canvas Shoe,Casual Shoes,4455.jpg,True
24712.jpg,"Inspired by pop and graffiti art, the 917 Mid Bas puma shoes are all about having fun with colour. Summery, vibrant and energetic, these shoes add zing to all casual outfits. What's even better is that you get an additional pair of laces in a different colour to create a new look. Upper Canvas upper with bold punk graphics and puma logo Synthetic twill tape laces looped around eyelets Additional pair of laces in different colour for a new look Synthetic rubber toe box for extra durability and protection of the forefoot Stitch detailing of form-stripes on the sides High ankle support with additional ankle strap for snug Fit Midsole Comfort insole with canvas tongue to ensure a snug, comfortable fit Textile lining for added comfort Outsole Made of high traction gum rubber Toe guard strip with tonal side-wall trip Textured to suit the anatomy of the feet for maximum grip Reinforced heel with dip in back collar line to prevent Achilles tendon irritation",Puma Men Mid Bas Black Casual Shoes,Casual Shoes,24712.jpg,True
10295.jpg,"A pair of brown casual shoes with central lace-ups Leather upper Cushioned footbed Textured outsolewith flexible grooves for lightweight comfort, grip and traction Warranty provided by Brand Owner / Manufacturer: 3 months against manufacturing defects",Clarks Men Brown Leather Casual Shoes,Casual Shoes,10295.jpg,True
31555.jpg,"woodland, a giant in the outdoor shoe industry, have come up with this rugged shoe with a refined stance. Stylish overlays on the woodsy upper add an aesthetic referenced from the great outdoors. Crafted with hand-picked Italian leather and soles finished with German technology, your footwear closet is incomplete without a Woodland shoe. Wear this with chinos or denims and a checked casual shirt or a tee and style your outfit with a rugged belt.  Upper Leather upper with strategically placed overlays Central lace ups Padded tongue and collar with branding at the back of the collar Padded insole for in-step comfort Removable sockliner to accommodate an orthotic  Midsole Rubber midsole  Outsole Dual density TPU outsole with multidirectional lugs for grip and traction and a curved midfoot  Shoe care Wipe surface with soft, clean, damp cloth to remove dust Do not store in direct sunlight",Woodland Men Camel Brown Casual Shoes,Casual Shoes,31555.jpg,True
22240.jpg,"Colour blocked id shoes with a canvas upper and a go-anywhere appeal. Crafted from India's finest materials, this high-top chukka shoes is perfect for colour-pop styling - a fashion staple. Balance this bright piece with understated denims or pleated chinos for contemporary grounding.  Upper High-top canvas upper with a contrast mock upper with eyelets Contrast stitch detailing Central lace-ups Rubber toe box for abrasion free comfort Canvas tongue and fabric lining  Midsole PU midsole with reinforced textured foxing on the toe box  Outsole Branding and honeycomb patterned grooves on the TPU outsole  shoe care Make a paste using 1 tbsp of baking soda, 1 tbsp white vinegar and 1 tbsp hot water Rub this paste onto the canvas and the sole using a brush Wash off with lukewarm water",ID Men Black Casual Shoes,Casual Shoes,22240.jpg,True
43871.jpg,"Style Note  These Driving Power Lo shoes from puma are a spin off from the high-top version and they're a perfect choice for all speed freaks. These shoes are perfect for those who love a little show off drama in their casual ensembles.   Product Details  White shoe with synthetic upper, central lace-ups, overlays and decorative stitched detailing  Branding on the tongue and heel  Padded tongue and inner  Thick rubber outsole  TPU outsole with patterned grooves, diamond shaped plastic inlay and branding on the midfoot   Material and Care  Synthetic  Wipe surface with soft, clean, damp cloth to remove dust  Do not machine wash",Puma Men White Driving Power Lo Shoes,Casual Shoes,43871.jpg,True
22842.jpg,"woodland, a giant in the outdoor shoe industry, comes up with this rugged shoe with a refined stance. This two-hole lace up suede shoe references the conservative derby in its styling. Wear this with chinos or denims and a checked casual shirt or a tee. Style this with rugged belts. Upper Two-tone leather upper with aggressive stitch detailing and embossed branding on the lateral side of the heel Stitches on the seams of the toe box Two-hole lace up Padded tongue Padded insole for in-step comfort Removable sockliner to accommodate an orthotic Midsole Rubber midsole Outsole Dual density TPU outsole with geometric lugs for grip and traction Outsole reinforced onto the upper as a toe guard Shoe care Wipe surface with soft, clean, damp cloth to remove dust Use a suede brush to remove dust from suede parts Do not store in direct sunlight",Woodland Men Khaki Casual Shoes,Casual Shoes,22842.jpg,True
19364.jpg,"Cut a dash with this high top pair of ankle boots for the cosmopolitan male from red tape. Styled in sophisticated leather, wear them with stone washed denims, a casual plaid shirt and a stylish hide jacket.  Upper High quality leather upper for protection, comfort and durability Pointed toe box for style Buckle detailing on the lateral side of the foot Zipper closure on the inner side of the foot for a customised Fit Padded mesh lining for greater comfort  Midsole TPR midsole for durability  Outsole TPR outsole with a wooden heel Rubber sole for the heel nailed to the heel for durability  shoe care Use a branded shoe polish to keep your footwear clean Do not store under sunlight",Redtape Men Calcullas Black Casual Shoes,Casual Shoes,19364.jpg,True
49488.jpg,"Black, round toed shoes with central purple lace up fastening and stitched detail Canvas upper with reinforced overlay at the heel collar Soft inner and tongue, padded footbed EVA midsole with foxing around the midsole Vulcanised rubber signature waffle outsole with scooped out diamond shaped grooves",Vans Men Black Helliotrope Shoes,Casual Shoes,49488.jpg,True
26635.jpg,"Designed for everyday wear, Future cat M2 shoes from puma embody excitement and energy for life. This Future Cat pair comes with synthetic overlays on the sides with a denim finish. The outsole with horizontal grips make these shoes very comfortable and durable while providing excellent grip, making them perfect for urban wear. Upper Features a low-profile design made for wear and tear Premium synthetic upper for longer wear Bold form-stripe outlining Lightly padded tongue and collar for extra comfort Asymmetrical lacing system gives a snug Fit Textile lining with cushioned foot-bed for enhanced comfort Synthetic overlays on the heel cup with a denim look for maximum style ferrari branding on the lateral side of the mid-foot Midsole Cushioned midsole for comfort and stability Outsole Rubber outsole with an upraised heel for enhanced traction Rubber outsole embedded onto the heel counter for shock absorption Embedded puma Jumping Cat embossed on the rubber outsole shoe care Rub surface with a soft, damp cloth to remove dust Do not store in direct sunlight",Puma Men Future Cat Black Casual Shoes,Casual Shoes,26635.jpg,True
20686.jpg,"This buckaroo Claro casual shoe references the brand's signature rugged style. True to its origin from the Mexican plains, this shoe has the essence of man-about-town nonchalance. This classic pair is a sartorial masterpiece with its clog meets penny loafer styling. Wear this with denims, a tee and a structured blazer   or with corduroy trousers. Upper Full grain leather upper for added durability and style Slip-on styling with elasticated inserts on the tongue Aggressive stitch detailing Lightly padded collar and tongue for in-step comfort and a snug Fit Leather lining to absorb moisture and keep feet dry Well-cushioned footbed for all-day comfort Brand logo embossed on lateral side of the heel Pull loop at the heel collar Midsole EVA midsole with shock absorbers Outsole Lightweight, slip-resistant TPR outsole with an upraised heel and patterned grooves for enhanced grip and traction Shoe care Wipe leather surface with dry, clean cloth to remove dust Use a branded leather conditioner Do not store in direct sunlight",Buckaroo Men Claro Brown Casual Shoes,Casual Shoes,20686.jpg,True
25456.jpg,"Designed for absolute comfort, the nike Killshot 2 shoe is absolutely stylish and versatile for those who love a comfort shoe. Made for racquet ball, the shoe's stylish look means it doubles up as great lifestyle footwear.  <b>Upper</b> Velvetty synthetic upper with suede overlays High ankle Mesh inner Central lacing Padded inner and tongue  <b>Midsole</b> Thick rubber midsole  <b>Outsole</b> Flexible rubber outsole with exaggerated herringbone grooves  <b>Shoe care</b> Wipe surface with a dry, clean cloth to remove dust Do not store in direct sunlight",Nike Men Killshot 2 Black Casual Shoes,Casual Shoes,25456.jpg,True
17039.jpg,"Have fun choosing from a collection of sneakers from gas. Comfy and stylish, this pair is worth adding to your wardrobe as it also doubles up as a perfect lifestyle footwear when teamed with jeans and tees.   Upper Synthetic leather upper with suede covered toe and heel cup for structural comfort Padded tongue and collar with a central lace-up system for snug Fit and comfort Cushioned sockliner for in-step cushioning Removable footbed to accomodate an orthotic Rubber toe box and heel for protection   Midsole Eva midsole for responsive cushioning and shock absorption Cushioned footbed for all-day comfort Brand badge on back heel for style   Outsole Durable rubber outsole with herringbone grooves for maximum grip and traction  Forefoot flex grooves for smooth transition Heel scoop for cushioned comfort and impact protection Multi-directional and multi-depth rectangular and triangle lugs in the forefoot and heel for better grip  shoe care Do not store in direct sunlight Remove dust and dirt with dry clean cloth",Gas Men Skate 001 Casual Shoe,Casual Shoes,17039.jpg,True
23914.jpg,"fila shoes are crafted from Italy's materials capital Biella, for quality and optimal durability. This Cicadeo shoe with its soccer-shoe referenced styling and padded inner is sure to become a closet favourite. Style this with casual ensembles. Upper Synthetic upper with perforations on the sides for ventilation Reinforced overlay at the heel collar Central lace ups for a snug Fit Padded tongue with branding Padded inner for additional comfort Pull loop at the heel collar Midsole EVA midsole for impact protection Outsole Terraced grooves on the outsole",Fila Men Cicadeo White Casual Shoes,Casual Shoes,23914.jpg,True
39616.jpg,"Style Note Updated summer style for your feet with catwalk's latest line. Inspired by the fresh fashion fetishes this season, this pair of sandals exemplify versatility - they look good with everything from smart formal day wear to breezy spring separates. Style them with an all-pastel coloured ensembles or a colour pop one, they go well with both!   Heel: 1""   Product Description Yellow synthetic upper in ballet flat style with an elasticated midfoot strap and decorative stitch detailing Padded inner with a heel patch TPU outsole with an upraised heel and floral lugs all over   Material and Care Synthetic Wipe surface with soft, clean cloth to remove dust Do not machine wash or use a drier Do not store in direct sunlight",Catwalk Women Yellow Shoes,Casual Shoes,39616.jpg,True
36456.jpg,"Style Note Created for today's generation, this spinn Temptation Sports shoe embodies the brand's motto - combining technology and high-octane fashion. We think these are just right, both for playing sport and for braving the urban jungle, thanks to their nonchalantly sturdy aesthetic. An all-weather staple, the style perfectly suits the cosmopolitan vibe you love! Product Details Round toed casual shoe in orange and brown with a flat heel and lace-up fastening Synthetic leather upper with overlays, and mesh inlays Well padded collar and tongue (with branding) Pull tab at the heel Phylon midsole Rubber outsole with pointed nubs at the forefoot and heel, terraced lugs at the midfoot Heel reinforced onto the upper at the heel to act as a heel guard Material and Care Synthetic leather Do not machine wash or store in direct sunlight Remove dust with a dry clean cloth",Spinn Men Temptation Brown Shoes,Casual Shoes,36456.jpg,True
3586.jpg,"Dedicated to Basketball champ Chuck Taylor, this Chuck Taylor All-Star series from converse are also called Chucks and come in classic designs. Created using canvas and rubber, this range of sneakers from Converse was initially designed to capture the basketball market, but soon enough turned into a hot casual footwear favourite.  Upper      Canvas upper for easy maintenance and durability    High ankle for added comfort to the foot and leg    Upper with plaid check print    Carbon rubber toe box for enhanced protection of the upper foot    Long canvas tongue for added comfort and snug fitLace-ups through metal eyelets for snug Fit and durability           Midsole      Comfort Insole made of contoured latex foam for high energy return and cushioning           Outsole          Vulcanized rubber outsole for flexibility and traction    Diamond-shaped lugs on the forefoot and heel, with horizontal lugsand grooves on the toe region and heel region, and slanting grooves along the periphery and midfoot for superior grip on all terrains           Shoe care Make a paste using 1 tbsp of baking soda, 1 tbsp white vinegar and 1 tbsp hot water Rub this paste onto the canvas and the sole using a brush Wash off with lukewarm water",Converse Men Black All Star Canvas Mono Hi Casual Shoes,Casual Shoes,3586.jpg,True
37248.jpg,"Style Note Colour block leather sneakers in brown and blue in a neat, classic style. The label's standard styling on this off-duty sneaker a fresh twist away from the usual casual staples. The comfy leather upper puts this on top of out springtime wishlist! Product Details Round toed, casual sneaker in blue and brown with lace ups and a pull tab at the heel collar Leather upper with reinforced overlays at the heel collar and midfoot Padded collar and tongue and an ergonomically shaped insole Upper adhered to the outsole TPU outsole with patterned grooves (stitch detail on the heel of the outsole) Material and Care Leather Wipe surface with a clean, dry cloth to remove dust Do not machine wash or store in sunlight Use a leather conditioner to polish the upper",United Colors of Benetton Men Brown Shoes,Casual Shoes,37248.jpg,True
12926.jpg,"Look like the king of fashion in these casual brogues from id. The contrast serrated edges on the forefoot add to the class of the footwear, while the foamy footbed is sure to keep you comfortable all day. Upper Full grain multi-layered leather upper for maximum durability and style Tapered toe for comfort and style Perforations on the forefoot area, patent to brogues Lightly padded tongue and collar for a great snug Fit Lace-up system for a snug, customised fit Stitch detailing to enhance shoe life Midsole Full length EVA midsole for comfort and support Cushioned footbed for added comfort Outsole Lightweight, slip-resistant textured rubber outsole for better shock absorption Shoe care Wipe surface with dry, clean cloth to remove dust Use a branded leather conditioner to maintain shoe shine Do not store in direct sunlight",iD Men Casual Black Shoes,Casual Shoes,12926.jpg,True
44745.jpg,"Style Note It's not only women who like to experiment with the shape, styles and colours of their footwear as men are not far behind. Check out shoes for men from globalite. Globalite offers casual shoes in different styles which can go well with any outfit. Team these shoes with denims and a stylish tee to up your style quotient.  Product Details White mid-top shoe with central lace-ups, overlays, perforations, reinforced overlay with cool print and a padded haul tab Padded tongue and inner Foamy rubber midsole Non marking compound outsole horizontal and herringbone grooves  Material and Care Synthetic Wipe surface with soft, clean, damp cloth Do not machine wash",Globalite Men White Counter Shoes,Casual Shoes,44745.jpg,True
39987.jpg,"Style Note Have a blast on the field, or when you're out on an everyday jog, with these comfortable shoes from gas. These shoes come with cool urban styling and a comfortable structure, and are worth adding to your wardrobe as they're also a perfect casual option when teamed with jeans and tees.   Product Details Blue shoe with central lace-ups, overlays, perforations and stitched detailing A padded tongue and inner Tough rubber textured outsole Thick TPU outsole with multi-directional grooves and suction points   Material and Care Synthetic and suede Do not store in direct sunlight Remove dust and dirt with dry clean cloth",Gas Men Europa Blue Shoes,Casual Shoes,39987.jpg,True
3643.jpg,"Composition Navy blue shoes made with canvas uppers, fabric lining and rubber sole, and come with an additional pair of laces shoe care 1. Rub surface with soft, clean, damp cloth to remove dust 2. Do not machine wash These navy blue shoes from fila have a retro look that is perfect for urban wear. The canvas blue uppers with green lining give great protection and are loaded with style. The sole with its diagonal grooves ensures greater grip and stability, making this a great addition to your wardrobe.",Fila Men's Maverick Low Navy Green Canvas Shoe,Casual Shoes,3643.jpg,True
39989.jpg,"Style Note Have a blast on the field, or when you're out on an everyday jog, with these comfortable shoes from gas. These shoes come with cool urban styling and a comfortable structure, and are worth adding to your wardrobe as they're also a perfect casual option when teamed with jeans and tees.   Product Details Blue shoe with central lace-ups, overlays, perforations and stitched detailing A padded tongue and inner Tough rubber outsole Thick TPU outsole with herringbone grooves   Material and Care Synthetic Do not store in direct sunlight Remove dust and dirt with dry clean cloth",Gas Men Skate Blue Shoes,Casual Shoes,39989.jpg,True
15728.jpg,"There is nothing better than a lightweight technical shoe that provides loads of comfort and durability. The nike Ruckus Mid Canvas Skate shoes is a powerful sneaker, with its simple style and extremely durable construction. Upper Canvas upper with synthetic leather overlays for durability Meshed and padded collar and tongue for all day comfort Perforations for breathability High ankle collar and heel cup for better support to the lower leg Lacing system for snug, customised Fit Removable footbed to accomodate an orthotic nike swoosh on either sides and brand name on the collar Midsole PU midsole for lightweight cushioning and comfort Outsole Durable rubber outsole with herringbone grooves for versatile traction and absolute grip Shoe care Make a paste using 1 tbsp of baking soda, 1 tbsp white vinegar and 1 tbsp hot water Rub this paste onto the canvas and the sole using a brush Wash off with lukewarm water",Nike Men Ruckus Mid Grey Casual Shoes,Casual Shoes,15728.jpg,True
